station,Q,Q/day,depth,LV,LV+/-,Qexp,Latitude,Longitude,L,A,G,date,time,zeroGate,gm,depth_ecp,name_1,Qmax_exp,lat_long
M.4,287.20,24.81,4.16,121.16,-4.04,262.5,15.32958031,103.6826096,8.20,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,117,-1.8,3.95,M.4_1,1040,"15.3295803070068,103.682609558105"
M.95A,***,-,5.28,121.08,-2.02,***,15.57186031,103.8198471,7.30,►,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,115.8000031,-1,5.28,M.95A_1,100,"15.5718603134155,103.819847106933"
M.42,121.90,10.53,8.24,127.14,-0.06,120.5,15.04821014,104.0209732,8.30,▲,เฝ้าระวังระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,118.9000015,-1,8.2,M.42_1,124,"15.0482101440429,104.020973205566"
M.5,468.50,40.48,5.35,115.35,-5.40,458.6,15.33969021,104.1540298,10.75,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,110,-2.65,5.26,M.5_1,1670,"15.339690208435,104.154029846191"
M.190,60.70,5.24,5.47,125.17,-2.13,55.2,15.01051998,104.1284485,7.60,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,119.6999969,-0.6,5.42,M.190_1,220,"15.0105199813842,104.128448486328"
M.9,0.00,0.00,0.00,109.00,-10.00,46.4,15.11808014,104.3186417,10.00,▼,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,109,-2,6.48,M.9_1,200,"15.1180801391601,104.318641662597"
M.182,716.00,61.86,7.18,113.68,-3.42,692,15.13208008,104.4884033,10.60,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,106.5,-1,7.06,M.182_1,1580,"15.132080078125,104.488403320312"
M.66,46.25,4.00,3.29,145.19,-3.71,31.2,14.64328957,104.6595001,7.00,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,141.8999939,-1,2.66,M.66_1,560,"14.64328956604,104.65950012207"
M.176,106.20,9.18,5.74,115.94,-6.26,96.9,15.00636005,104.6334534,12.00,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,110.1999969,-2,5.43,M.176_1,500,"15.0063600540161,104.63345336914"
E.98,833.10,71.98,8.97,115.97,-2.83,778.6,15.30323029,104.5003204,11.80,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,107,-1.5,8.73,E.98_1,2150,"15.3032302856445,104.50032043457"
M.157,***,-,4.50,126.00,-3.50,***,15.80624008,104.3279495,8.00,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,121.5,-2,4.03,M.157_1,375,"15.8062400817871,104.327949523925"
M.32,330.00,28.51,7.37,127.67,-0.83,288.8,15.84008026,104.4557037,8.20,▲,เฝ้าระวังระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,120.3000031,-1,6.92,M.32_1,660,"15.8400802612304,104.455703735351"
M.179A,286.80,24.78,8.01,117.81,-1.99,278.8,15.50298977,104.5954437,10.00,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,109.8000031,-1,7.91,M.179A_1,450,"15.5029897689819,104.595443725585"
M.7,1990.00,171.94,6.38,111.38,-0.62,1880,15.22354984,104.8591537,7.00,▲,เฝ้าระวังระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,105,-1,6.16,M.7_1,2300,"15.2235498428344,104.859153747558"
M.69,***,-,3.95,109.95,-5.75,***,15.50421047,104.9662018,9.70,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,106,-2.4,2.98,M.69_1,445,"15.5042104721069,104.966201782226"
M.170,151.80,13.12,5.63,128.93,-3.37,163.2,14.7908802,105.1027679,9.00,▼,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,123.3000031,-2,5.82,M.170_1,600,"14.790880203247,105.102767944335"
KHO,"27,098.00",2341.27,11.90,100.93,-2.25,"26,480.00",15.334863,105.475075,14.15,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,89.03,-1,11.59,KHO_1,"54,249","15.334863,105.475075"
E.68A,46.49,4.02,4.17,198.87,-1.03,28.25,17.08216095,102.450798,5.20,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,194.6999969,-0.7,3.47,E.68A_1,130,"17.082160949707,102.450798034667"
E.65,157.70,13.63,7.11,166.11,0.11,144.96,16.95174026,103.1680527,7.00,▲,ระดับสูงกว่าตลิ่ง,17/9/2023,6.00น.,159,-1,6.93,E.65_1,150,"16.9517402648925,103.168052673339"
E.67,43.20,3.73,6.07,164.94,-6.43,39.6,16.10943985,104.011222,12.50,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,158.8699951,-1,5.95,E.67_1,420,"16.1094398498535,104.011222"
E.76A,47.95,4.14,4.63,168.53,-3.97,68.2,16.86067963,103.5948563,8.60,▼,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,163.8999939,-1,5.98,E.76A_1,110,"16.8606796264648,103.594856262207"
E.88,20.76,1.79,2.90,165.96,-1.60,29.46,16.83222008,103.3691711,4.50,▼,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,163.0599976,-1,3.41,E.88_1,119,"16.8322200775146,103.369171142578"
E.89,8.77,0.76,2.41,173.01,-3.09,5.84,16.66583061,103.308609,5.50,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,170.6000061,-1,2.21,E.89_1,60,"16.6658306121826,103.308609008789"
E.90,49.82,4.30,4.02,164.62,-2.48,68.88,16.77222061,103.6483307,6.50,▼,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,160.6000061,-1,5.02,E.90_1,110,"16.7722206115722,103.648330688476"
E.102,***,-,10.25,128.90,0.75,***,15.85684967,104.0267487,9.50,▲,ระดับสูงกว่าตลิ่ง,17/9/2023,6.00น.,118.6500015,-1,10.03,E.102_1,0,"15.85684967,104.0267487"
